Date,open,close,high,low,volumn,price_change,day,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,percent_change
2015-11-03,276.25,274.0,284.85,272.15,4770000.0,0.021400000000000002,2015-11-03,,,,,,,
2015-11-04,281.6,277.45,283.5,275.1,1850000.0,0.0194,2015-11-04,,,,,,,0.012591240875912346
2015-11-05,277.0,280.95,281.4,276.0,785960.0,-0.0163,2015-11-05,,,,,,,0.012614885564966594
2015-11-06,271.05,279.0,279.0,270.0,521580.00000000006,-0.0215,2015-11-06,,,,,,,-0.0069407367859049
2015-11-09,273.9,266.5,276.0,253.6,603100.0,0.0105,2015-11-09,275.58000000000004,,,1706128.0,,,-0.04480286738351258
2015-11-10,269.8,276.1,280.5,267.8,564760.0,-0.015,2015-11-10,276.0,,,865080.0,,,0.03602251407129464
2015-11-11,273.55,273.9,275.6,273.0,89580.0,0.0139,2015-11-11,275.28999999999996,,,512996.0,,,-0.007968127490040056
2015-11-13,265.8,271.5,271.95,263.5,264880.0,-0.028300000000000002,2015-11-13,273.4,,,408780.0,,,-0.008762322015334001
2015-11-16,268.05,266.0,274.7,260.05,534430.0,0.0085,2015-11-16,270.8,,,411350.0,,,-0.02025782688766109
2015-11-17,265.55,270.1,274.4,264.55,354950.0,-0.009300000000000001,2015-11-17,271.52000000000004,273.55,,361720.0,1033924.0,,0.015413533834586657
2015-11-18,261.3,265.9,267.7,260.25,236270.0,-0.016,2015-11-18,269.48,272.74,,296022.0,580551.0,,-0.015549796371714386
2015-11-19,260.55,263.0,263.75,259.25,269160.0,-0.0029,2015-11-19,267.3,271.295,,331938.0,422467.0,,-0.01090635577284682
2015-11-20,259.15,261.6,266.0,258.5,252000.0,-0.0054,2015-11-20,265.32,269.36,,329362.0,369071.0,,-0.005323193916349722
2015-11-23,264.85,260.0,267.5,257.5,413190.0,0.022000000000000002,2015-11-23,264.12,267.46,,305114.0,358232.0,,-0.006116207951070374
2015-11-24,266.4,265.8,270.0,262.05,298580.0,0.0059,2015-11-24,263.26,267.39,,293840.0,327780.0,,0.02230769230769236
2015-11-26,266.3,268.4,269.4,264.0,172030.0,-0.0004,2015-11-26,263.76000000000005,266.62,,280992.0,288507.0,,0.009781790820165392
2015-11-27,258.25,267.0,267.05,257.15,644850.0,-0.0302,2015-11-27,264.56000000000006,265.92999999999995,,356130.0,344034.0,,-0.005216095380029762
2015-11-30,255.35,259.8,261.75,254.0,447110.0,-0.011200000000000002,2015-11-30,264.2,264.76,,395152.0,362257.0,,-0.02696629213483137
2015-12-01,257.75,255.75,264.4,255.5,578650.0,0.009399999999999999,2015-12-01,263.35,263.735,,428244.0,366679.0,,-0.01558891454965361
2015-12-02,257.5,258.5,262.0,256.25,195140.0,-0.001,2015-12-02,261.89,262.575,268.0625,407556.0,350698.0,692311.0,0.010752688172043001
2015-12-03,261.85,258.4,264.9,257.5,426130.0,0.0169,2015-12-03,259.89,261.825,267.28249999999997,458376.0,369684.0,475117.5,-0.0003868471953579755
2015-12-04,254.8,260.1,261.35,253.2,192550.0,-0.0269,2015-12-04,258.51,261.53499999999997,266.415,367916.0,362023.0,392245.0,0.00657894736842124
2015-12-07,253.25,256.7,258.85,252.5,112650.0,-0.0060999999999999995,2015-12-07,257.89,261.04499999999996,265.2025,301024.0,348088.0,358579.5,-0.013071895424836777
2015-12-08,257.25,257.0,267.5,255.0,1240000.0,0.0158,2015-12-08,258.14,260.745,264.1025,433294.0,430769.0,394500.5,0.001168679392286709
2015-12-09,252.95,257.45,261.4,252.0,260920.00000000003,-0.0167,2015-12-09,257.93,259.90999999999997,263.65,446450.0,427003.0,377391.5,0.0017509727626459082
2015-12-10,255.85,254.7,257.9,253.0,158430.0,0.0115,2015-12-10,257.18999999999994,258.54,262.58000000000004,392910.0,425643.0,357075.0,-0.010681685764226012
2015-12-11,257.05,255.5,260.0,254.65,202080.0,0.004699999999999999,2015-12-11,256.27,257.39,261.66,394816.0,381366.0,362700.0,0.003140950137416665
2015-12-14,253.7,256.5,256.5,253.05,100570.0,-0.013000000000000001,2015-12-14,256.22999999999996,257.06,260.91,392400.0,346712.0,354484.5,0.00391389432485334
2015-12-15,272.8,252.5,275.0,252.5,1540000.0,0.0753,2015-12-15,255.32999999999998,256.735,260.235,452400.0,442847.0,404763.0,-0.015594541910331383
2015-12-16,270.25,275.0,278.4,269.85,377780.0,-0.009300000000000001,2015-12-16,258.84000000000003,258.385,260.48,475772.0,461111.0,405904.5,0.08910891089108919
