Date,Open,High,Low,Close,Volume
2020-09-01,82700,83200,80000,80300,5503680
2020-09-02,81100,82500,80300,82400,4608275
2020-09-03,83100,83200,80800,82000,3696075
2020-09-04,78000,80900,77900,80400,5842645
2020-09-07,80300,80300,78200,78400,4644695
2020-09-08,78700,79700,76100,78000,5102695
2020-09-09,76300,77600,75800,76800,4677865
2020-09-10,78400,79300,76800,77100,4683540
2020-09-11,76400,76800,75100,75800,3964200
2020-09-14,75400,75600,73800,74700,4151155
2020-09-15,74200,77000,73800,76200,4300190
2020-09-16,76800,76900,75400,75400,2428715
2020-09-17,74700,74800,73800,74200,3088510
2020-09-18,73800,75400,73200,74600,2476355
2020-09-21,74300,74800,72800,72900,2651275
2020-09-22,72200,73800,70200,70600,4401590
2020-09-23,71700,73400,70600,73100,4651970
2020-09-24,72200,72300,70200,70400,3818190
2020-09-25,71200,71600,69300,70300,2248505
2020-09-28,71300,74400,70800,73800,3373525
2020-09-29,74900,75000,72800,72900,3060270
2020-10-05,72100,74100,71600,74100,2611140
2020-10-06,74700,76700,74000,76300,3826695
2020-10-07,75600,76300,75200,76100,1991425
2020-10-08,76700,77400,75800,75800,3123290
2020-10-12,76600,76600,74200,74300,2358120
2020-10-13,74800,75400,74300,74400,1511585
2020-10-14,74000,75000,73200,73700,1665040
2020-10-15,73600,73700,72000,72400,2112830
2020-10-16,72200,72400,71000,71500,2002025
2020-10-19,71600,72500,70400,70600,1812010
2020-10-20,69600,70600,68000,70500,3799865
2020-10-21,70200,72200,70200,70700,2581410
2020-10-22,70300,70400,69100,69800,1881900
2020-10-23,69700,70000,68000,68000,3112960
2020-10-26,67400,68200,65600,65900,3573610
2020-10-27,64900,68700,64900,66800,4063050
2020-10-28,67100,69300,67000,69300,3147835
2020-10-29,68400,69100,67700,68600,2457730
2020-10-30,68600,68800,66000,66000,2768740
2020-11-02,66100,67100,65600,66900,1599280
2020-11-03,66900,67800,66400,67300,2018930
2020-11-04,68100,72200,68000,71900,7155130
2020-11-05,71800,73700,70600,72600,5306835
2020-11-06,73400,76100,73100,74100,6577860
2020-11-09,75000,75200,73500,74300,2968675
2020-11-10,71500,72300,70800,71200,5525500
2020-11-11,70300,71700,69500,71100,3569215
2020-11-12,72000,72900,71000,71500,2776395
2020-11-13,71000,73200,71000,73100,2691030
2020-11-16,74200,74300,71900,72400,2789935
2020-11-17,71600,73000,71200,72400,2261375
2020-11-18,72000,73700,71900,73100,2422465
2020-11-19,73500,74300,73100,73100,2150600
2020-11-20,73300,73600,72400,73100,1336330
