Date,Open,High,Low,Close,Volume
2020-09-01,322500,329500,322000,324500,691864
2020-09-02,332500,335500,327000,332500,808064
2020-09-03,333500,339500,329500,339000,776547
2020-09-04,322500,335000,322000,328500,1174337
2020-09-07,325500,325500,313500,314500,1308247
2020-09-08,316000,318000,305500,311000,989171
2020-09-09,303000,307000,300000,304500,925825
2020-09-10,309000,311000,305000,307500,834946
2020-09-11,302500,307000,301000,306000,517023
2020-09-14,307500,308000,300000,303000,608816
2020-09-15,304000,314000,303000,312000,797985
2020-09-16,311500,312000,306000,307000,696219
2020-09-17,302500,304000,299000,300500,823516
2020-09-18,299500,302000,296000,298000,750488
2020-09-21,297000,301500,292000,292000,656024
2020-09-22,290500,295000,282000,284500,864846
2020-09-23,290000,298000,285500,296500,984136
2020-09-24,291500,295500,287000,294000,848971
2020-09-25,296000,297500,289500,295000,648182
2020-09-28,297000,302000,296000,298500,724465
2020-09-29,303000,303000,294000,296500,765489
2020-10-05,297500,299000,289500,298500,906516
2020-10-06,299500,307500,296500,305000,868540
2020-10-07,302000,305000,299500,305000,534644
2020-10-08,307500,307500,300000,301000,756735
2020-10-12,303000,303000,291500,292000,914860
2020-10-13,292000,298000,292000,295000,636487
2020-10-14,295000,301000,293000,298500,759464
2020-10-15,300500,300500,291000,292500,624097
2020-10-16,292500,297500,291500,293500,446832
2020-10-19,293500,296500,286000,286000,434420
2020-10-20,286500,291000,281000,290000,535870
2020-10-21,292500,301000,291000,297500,640501
2020-10-22,295000,296000,292000,293000,416425
2020-10-23,295500,295500,286000,286500,451654
2020-10-26,286500,289000,281500,281500,349163
2020-10-27,281500,288500,280500,283500,2071432
2020-10-28,282000,298500,281500,298500,698195
2020-10-29,297000,301000,294500,298500,785050
2020-10-30,299000,300000,290000,290000,939833
2020-11-02,292000,293000,285500,285500,503831
2020-11-03,284000,287000,280000,283000,1066923
2020-11-04,282500,300500,282000,298500,1623712
2020-11-05,295000,302000,291500,299000,1082388
2020-11-06,303000,307000,299000,301000,968971
2020-11-09,304000,304500,298000,298000,678531
2020-11-10,287000,288000,282000,283000,1728995
2020-11-11,281000,283000,277500,280000,1183499
2020-11-12,283000,285500,279000,279000,1016673
2020-11-13,277500,282000,277500,281000,710865
2020-11-16,282500,283000,277500,278000,887878
2020-11-17,277500,278000,273500,275000,816320
2020-11-18,274500,283500,274000,281000,912899
2020-11-19,282500,284000,279500,280500,520114
2020-11-20,281500,283500,278500,281000,439077
2020-11-23,282000,282500,278500,281500,565213
2020-11-24,281500,287000,280000,282500,809745
2020-11-25,287000,287000,278500,278500,909937
2020-11-26,280000,285500,280000,285500,797094
2020-11-27,287000,287500,283000,284500,417510
2020-11-30,286000,286500,277500,277500,1176272
2020-12-01,282000,286000,280000,285500,709278
2020-12-02,287000,287000,282000,283500,601596
2020-12-03,285000,287000,283500,287000,740985
2020-12-04,287500,295500,284500,294000,1174932
2020-12-07,300000,300500,288000,289500,821860
2020-12-08,291500,291500,285000,285000,566981
2020-12-09,285500,289000,285000,288000,533304
2020-12-10,288000,290000,284500,286000,959427
2020-12-11,288000,291500,287500,290000,503588
2020-12-14,292500,294000,286000,286000,555272
2020-12-15,286500,287500,282500,283000,491995
2020-12-16,286500,287000,283000,285500,381896
2020-12-17,286000,287000,282000,285000,522344
2020-12-18,284000,285500,282000,282500,487305
2020-12-21,284000,285500,280000,284000,473545
2020-12-22,285000,293500,284000,284000,750095
2020-12-23,288500,289000,283000,284000,508019
2020-12-24,284500,284500,280000,282000,453095
2020-12-28,282000,282500,280000,281000,537848
2020-12-29,281500,285000,280500,283000,506090
2020-12-30,285000,293000,284000,292500,1190327
2021-01-04,291500,294000,285500,293000,947178
2021-01-05,291500,292500,286500,292500,912657
2021-01-06,292500,300500,289500,290000,1375856
2021-01-07,288500,292000,286500,289500,1155734
2021-01-08,293500,312000,290000,312000,3175396
2021-01-11,320000,323500,301000,309000,2765169
2021-01-12,305000,308500,292500,304000,1573299
2021-01-13,306000,317500,304000,314000,1894304
2021-01-14,318500,326000,314000,318000,1548585
2021-01-15,320500,323000,305500,306000,1106810
2021-01-18,304500,308500,300000,300500,864969
2021-01-19,303500,310500,299500,308000,880238
2021-01-20,313500,313500,302000,308000,885472
2021-01-21,316500,326000,316000,322500,1941446
2021-01-22,332000,350000,326000,343500,3303950
2021-01-25,349000,353000,340000,349000,1593848
2021-01-26,350500,351000,338000,342000,1247284
2021-01-27,347000,352000,339500,341500,1149246
2021-01-28,336000,366000,335000,355000,2285696
2021-01-29,362000,362000,340500,343000,1607894
2021-02-01,346500,352500,341500,348000,988630
2021-02-02,358000,373000,353000,362500,1951062
2021-02-03,366500,371000,361000,370500,1197680
2021-02-04,368000,368500,356000,358000,1160116
2021-02-05,363500,371500,356500,362500,982325
2021-02-08,361500,364500,357000,357500,712484
2021-02-09,359500,362000,355000,358500,667655
2021-02-10,365000,368500,359000,366500,1147417
2021-02-15,383500,388000,378000,385500,1172475
2021-02-16,391500,405000,390000,394000,1567108
2021-02-17,396500,396500,386000,392000,1161595
2021-02-18,391500,400000,386500,388000,1020222
2021-02-19,387000,398500,385500,398000,1047043
2021-02-22,400000,405500,384500,386500,1289395
2021-02-23,379000,394500,378500,390500,1017577
2021-02-24,389500,391500,374000,374000,1078485
2021-02-25,380500,384500,374500,383000,757476
2021-02-26,372000,378500,368500,375000,1170208
2021-03-02,389000,390000,375500,377500,1240322
2021-03-03,379000,399500,377500,399500,1287551
2021-03-04,392000,401000,389000,391500,1585134
2021-03-05,386000,386500,371000,377500,1594386
2021-03-08,382000,386000,366500,368500,1031748
2021-03-09,366500,371500,350000,361500,1313900
2021-03-10,373000,378000,368000,372000,946917
2021-03-11,372500,377500,366000,373500,1024741
2021-03-12,396000,396000,378500,380500,969276
2021-03-15,382000,385500,377500,383000,609496
2021-03-16,384500,389500,384000,385500,574082
2021-03-17,388000,391500,380500,383500,1200355
2021-03-18,388500,410000,386500,403500,1818409
2021-03-19,397000,407500,395000,402000,1258199
2021-03-22,402500,405500,393000,396500,911358
2021-03-23,397000,399000,384000,386000,1167110
2021-03-24,380000,387000,376000,387000,763754
2021-03-25,381500,384000,378000,380000,672585
2021-03-26,380000,383000,377000,383000,691786
2021-03-29,383500,384000,372000,372000,878014
2021-03-30,373500,381000,373500,376500,623997
2021-03-31,379500,383000,377000,377000,568103
2021-04-01,375500,379000,372000,378500,547402
2021-04-02,381500,382500,378000,379500,476668
2021-04-05,379500,380000,374500,377000,421508
2021-04-06,378500,391000,378000,388500,997518
2021-04-07,390500,391000,381500,384500,578490
2021-04-08,384500,387000,380000,381500,626575
2021-04-09,382000,385000,381500,383500,469100
2021-04-12,384500,393000,383000,385500,680329
2021-04-13,384000,389000,382000,388500,586643
2021-04-14,391500,398000,390000,391500,757969
2021-04-15,391500,398500,386500,391000,889538
2021-04-16,394500,395000,391000,391500,423962
2021-04-19,391500,393500,388500,390000,449064
2021-04-20,389000,391500,387500,391000,417892
2021-04-21,389000,389000,380500,380500,835828
2021-04-22,382000,384500,380000,380500,394350
2021-04-23,377500,379500,374000,378000,505140
