Date,Pos,Neu,Neg
2020-09-03,0,1,0
2020-09-04,0,1,0
2020-09-07,0,1,0
2020-09-08,1,0,0
2020-09-09,1,0,0
2020-09-10,1,0,0
2020-09-15,1,0,0
2020-09-16,0,1,0
2020-09-17,0,1,0
2020-09-18,1,0,0
2020-09-21,1,0,0
2020-09-22,1,0,0
2020-09-23,1,0,0
2020-09-24,1,0,0
2020-09-28,0,0,1
2020-09-29,1,0,0
2020-10-06,1,0,0
2020-10-07,0,1,0
2020-10-08,1,0,0
2020-10-12,0,0,1
2020-10-13,1,0,0
2020-10-14,1,0,0
2020-10-15,1,0,0
2020-10-16,0,1,0
2020-10-19,1,0,0
2020-10-20,1,0,0
2020-10-21,1,0,0
2020-10-22,1,0,0
2020-10-23,0,1,0
2020-10-26,0,1,0
2020-10-27,1,0,0
2020-10-28,1,0,0
2020-10-30,1,0,0
2020-11-02,0,1,0
2020-11-03,0,1,0
2020-11-04,1,0,0
2020-11-05,1,0,0
2020-11-09,0,1,0
2020-11-10,1,0,0
2020-11-11,1,0,0
2020-11-12,0,0,1
2020-11-13,0,1,0
2020-11-16,1,0,0
2020-11-17,1,0,0
2020-11-18,1,0,0
2020-11-19,0,0,1
2020-11-20,1,0,0
2020-11-23,0,0,1
2020-11-24,1,0,0
2020-11-25,1,0,0
2020-11-27,0,1,0
2020-11-30,1,0,0
2020-12-01,1,0,0
2020-12-02,1,0,0
2020-12-03,0,1,0
2020-12-04,1,0,0
2020-12-07,1,0,0
2020-12-08,0,1,0
2020-12-09,1,0,0
2020-12-10,1,0,0
2020-12-11,0,0,1
2020-12-14,0,1,0
2020-12-15,1,0,0
2020-12-16,0,1,0
2020-12-17,1,0,0
2020-12-18,1,0,0
2020-12-21,0,1,0
2020-12-22,1,0,0
2020-12-23,1,0,0
2020-12-24,1,0,0
2020-12-28,1,0,0
2020-12-29,0,1,0
2020-12-30,1,0,0
2021-01-04,1,0,0
2021-01-05,1,0,0
2021-01-07,0,1,0
2021-01-08,0,1,0
2021-01-11,1,0,0
2021-01-12,0,1,0
2021-01-13,1,0,0
2021-01-14,1,0,0
2021-01-15,0,1,0
2021-01-18,1,0,0
2021-01-19,0,1,0
2021-01-21,0,1,0
2021-01-25,1,0,0
2021-01-26,1,0,0
2021-01-27,0,1,0
2021-01-28,1,0,0
2021-01-29,0,1,0
2021-02-01,1,0,0
2021-02-02,0,1,0
2021-02-03,0,1,0
2021-02-04,1,0,0
2021-02-05,0,1,0
2021-02-08,0,0,1
2021-02-09,1,0,0
2021-02-10,0,1,0
2021-02-15,0,1,0
2021-02-16,0,1,0
2021-02-17,1,0,0
2021-02-18,1,0,0
2021-02-19,0,1,0
2021-02-22,1,0,0
2021-02-23,1,0,0
2021-02-24,1,0,0
2021-02-25,1,0,0
2021-02-26,1,0,0
2021-03-02,0,1,0
2021-03-03,1,0,0
2021-03-04,0,1,0
2021-03-05,1,0,0
2021-03-08,0,1,0
2021-03-09,1,0,0
2021-03-10,1,0,0
2021-03-11,1,0,0
2021-03-15,0,0,1
2021-03-16,1,0,0
2021-03-17,1,0,0
2021-03-18,1,0,0
2021-03-19,1,0,0
2021-03-22,1,0,0
2021-03-23,1,0,0
2021-03-24,1,0,0
2021-03-25,1,0,0
2021-03-26,0,1,0
2021-03-29,0,0,1
2021-03-30,1,0,0
2021-03-31,1,0,0
2021-04-01,1,0,0
2021-04-02,1,0,0
2021-04-05,1,0,0
2021-04-06,1,0,0
2021-04-07,1,0,0
2021-04-08,0,1,0
2021-04-09,0,1,0
2021-04-12,0,1,0
2021-04-13,1,0,0
2021-04-14,0,1,0
2021-04-15,1,0,0
2021-04-16,0,0,1
2021-04-19,1,0,0
2021-04-20,0,1,0
2021-04-22,1,0,0
2021-04-26,0,1,0
2021-04-27,0,1,0
2021-04-29,1,0,0
2021-04-30,1,0,0
2021-05-03,0,1,0
2021-05-04,0,1,0
2021-05-06,1,0,0
2021-05-07,0,0,1
2021-05-10,0,1,0
2021-05-11,1,0,0
2021-05-12,1,0,0
2021-05-13,1,0,0
2021-05-17,1,0,0
2021-05-20,1,0,0
2021-05-21,0,1,0
2021-05-24,0,1,0
2021-05-25,1,0,0
2021-05-27,1,0,0
2021-05-28,1,0,0
2021-05-31,0,1,0
2021-06-01,0,1,0
2021-06-03,0,1,0
2021-06-04,1,0,0
2021-06-07,1,0,0
2021-06-08,1,0,0
2021-06-09,1,0,0
2021-06-10,1,0,0
2021-06-14,1,0,0
2021-06-15,0,1,0
2021-06-16,1,0,0
2021-06-17,1,0,0
2021-06-18,1,0,0
2021-06-21,0,1,0
2021-06-22,1,0,0
2021-06-24,1,0,0
2021-06-25,1,0,0
2021-06-28,0,1,0
2021-06-29,1,0,0
2021-06-30,0,0,1
